Sr.no,name,year,movie_rated,run_length,genres,release_date,IMDB_rating,num_raters,num_reviews,review_url,image_Url,rating,keyword,review_date,review,sentiments
1,Inception,2010,PG-13,2h 28min,Action; Adventure; Sci-Fi; ,16 July 2010 (USA),8.8,1981688,3820,https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/8X8J8sNXmCWDBaxo3vueONLRj00=/206x305/v2/https://flxt.tmsimg.com/assets/p7825626_p_v8_af.jpg,8,Amazingly original...but also a bit overwhelming.,02-Dec-10,"This review is being written by a 46 year-old guy. I mention this because clearly this is a film where age is important  as younger folks probably will enjoy the movie more--and can take the fast-paced action and frenetic pace. I assume older audiences probably will be a little less amazed and a bit overwhelmed with the film. Just something to consider as you read this.As for the movie  I'll be up front about the fact that I did NOT love this film. It's just not the sort of movie I'd usually see and only went because my oldest daughter nagged me to go. I am glad I did  however  as I really could respect the movie in many ways. First  the story is wildly original (though  also quite confusing). Other than the Matrix films  I can't think of anything that even comes close to it in style. Second  the production looked and sounded great. The music was intense and worked great with the amazing  totally amazing  special effects. Third  it was nice to see so many kid actors show that they are NOT light-weights and could act. Leonardo DiCaprio is no longer the pretty young thing he was in ""Titanic""--his maturity and grit were welcome. Also  seeing the kid from ""Third Rock"" suddenly playing an action hero was great--you'd barely recognize him--or the other grown child actors. Fourth  I loved the ending--it really pulled everything together very well.So why am I not giving the film a glowing review? Well  I am simply not an action film fan. And  the insane pace  TONS of shooting and crazy plot simply lost me at times. I much preferred the slower and more introspective moments of the film. Also  while Ken Watanabe is a fine actor  I had a devil of a time understanding a lot of what he said--to the point where I wish they'd either dubbed him or had caption! Now this is NOT just because I am an old crank who is slightly hard of hearing--my daughter  too  found his thick accent difficult. On the other hand  Ms. Cotillard was VERY easy to understand and I was surprised how well she controlled her lovely French accent.I could probably go on and on about the film--as it's long  complex and VERY prone to be one to watch and re-watch and discuss with friends. However  at this point  there are already a bazillion reviews and 7 billion people have already gone to see it  so I'll call it a day.Well worth seeing....but perhaps too frenetic and confusing for many.",positive
2,Inception,2010,PG-13,2h 28min,Action; Adventure; Sci-Fi; ,16 July 2010 (USA),8.8,1981688,3820,https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/8X8J8sNXmCWDBaxo3vueONLRj00=/206x305/v2/https://flxt.tmsimg.com/assets/p7825626_p_v8_af.jpg,7,A good film  but not as good as the hype,05-Mar-11,I heard a number of great things about Inception  including from my sister who came out saying it was one of the cleverest and best movies she'd seen. After seeing it for myself  I thought it was a good film  but not as good as I was led to believe. Out of the Christopher Nolan movies I have seen  Inception didn't wow me as much as Memento and The Prestige  and it is one of my least favourites of his so far. Does that mean the film is bad? No  I am just saying I do not think it is Nolan's best as I have heard people say.My main problem with Inception was the lack of emotional attachment  I do understand completely anybody who says it is emotionally cold. Particularly in the characters  they are written and acted well  but not much is done to make us empathise with them and their predicaments. I loved the idea of the story  it was clever and somewhat original and it did start very compelling and intriguing  but as the film progresses it does become rather convoluted and I found myself losing a little interest. Also  the pace is uneven  as the characters became more cold and the story more convoluted  the film really does start to drag until the conclusion where the film does thankfully pick up.Inception despite these faults does have a number of strengths  especially the beautifully crafted production values  dream sequences and effects and Nolan's superb direction. Hans Zimmer's score is incredibly good too  while powerful and haunting it rarely becomes overbearing  while the dialogue is on the whole clever and thought-provoking. The acting is generally very good  both Leonardo DiCaprio  with a more hardened persona which has grown even more  and Ellen Page give strong performances and while Marion Cotillard is underused she is pretty good as well and Cillian Murphy I think gives the best supporting performance as he is superb.Overall  Inception is a generally good film but not as good as it is lauded to be. 7/10 Bethany Cox,positive
3,Inception,2010,PG-13,2h 28min,Action; Adventure; Sci-Fi; ,16 July 2010 (USA),8.8,1981688,3820,https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/8X8J8sNXmCWDBaxo3vueONLRj00=/206x305/v2/https://flxt.tmsimg.com/assets/p7825626_p_v8_af.jpg,9,Dream Team,21-Jul-10,Watching Inception with its futuristic emphasis on getting inside people's heads through dreams  especially hearing Leonardo DiCaprio explain the pitfalls to newbie Ellen Page  I couldn't help thinking about Forbidden Planet and that warning about monsters from the Id. Did earth manage to conquer what the Krells could not?Christopher Nolan wrote and directed Inception and though it gets a bit heavy at times  it still is an unmistakable masterpiece. Leonardo DiCaprio stars in this and he's essentially a cat burglar of the mind. His mission usually is to invade people's dreams and steal ideas which makes him an invaluable espionage agent. But Leo's also a wanted man.Some problems Leo has relating to his Id have forced him to rely on others to create dream worlds. He was working against Japanese billionaire industrialist Ken Watanabe and got caught  but then Watanabe likes his style and hires Leo and his team to do a job on the young heir to a communications conglomerate  Cillian Murphy. It's not to steal anything  but to plant an idea in his brain with the dream team. The film is essentially how DiCaprio and his crew go about this job with Watanabe incidentally along for the ride. And its how Leo has to deal with some real demons involving guilt that force him to rely on others.Very nice computer graphic generated special effects characterize Inception and it will probably earn an Oscar nomination next year in that category. Director Nolan gets his talented cast to read writer Nolan's dialog with verve and conviction. I truly hope this technology is not in our near future that would be a frightening thought.,positive
4,Inception,2010,PG-13,2h 28min,Action; Adventure; Sci-Fi; ,16 July 2010 (USA),8.8,1981688,3820,https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/8X8J8sNXmCWDBaxo3vueONLRj00=/206x305/v2/https://flxt.tmsimg.com/assets/p7825626_p_v8_af.jpg,8,A Hollywood rarity - an intelligent action film,04-Aug-16,Christopher Nolan is a director to be applauded. His films may be sometimes flawed – as in the case of this one – and often overrated  but at least he's a guy working in Hollywood who strives for originality. INCEPTION might well be his most original film yet  a cerebral thriller that requires audiences to use their brains for once  rather than going over the same old ground. It's not quite the masterpiece that some say it is  but it is an engaging  well-made  and exciting movie that pretty much demands repeat viewings.The first two thirds of the movie had me spellbound. The set-up is intense  throwing out wonderful ideas at the audience and not hanging around to see whether they're accepted. It's definitely a film where you have to pay attention to every second  although saying that I had no trouble following what was going on. As our characters enter dream state after dream state  I was drawn into this world with them. Nolan is at the top of his game and even his super-fast-edited action sequences don't disappoint  with riveting gun battles and a fine car chase thrown in  too. Star Leonardo DiCaprio's back story adds an emotional core to the movie that it would have otherwise been missing and I loved being caught up in the various outlandish shenanigans.Which is why the ending is a little bit disappointing – not a lot  but a little bit nonetheless. The whole setup with the snowbound fortress smacks of Bond  and has a seen-it-all before quality the film sidestepped for the most part. It's as if Nolan pushed himself to the edge with the concepts he introduced in his movie  and then stepped back  afraid. We needed more scenes like the bit with the train and the revolving corridor  and less conventional action. There's plenty of scope for truly mind-blowing stuff in the dream worlds he so painstakingly creates – like the awesome early scene with the folding city. But then he just delivers some sub-Bond antics and wastes what could have been a truly superb premise.I also had a slight problem with the ending  which goes on and on  with multiple scenes dragged out in a manner reminiscent of RETURN OF THE KING (although never quite as bad as that). Still  these are minor flaws in an otherwise very well made and entertaining movie. The ensemble cast are great: DiCaprio has matured nicely as a thinking man's hero  and the normally irritating Ellen Page is okay as the character whom the viewer follows into the antics. Michael Caine delivers a nice cameo  and Ken Watanabe reminds us all of what a fine actor he is. There are also good turns for up-and-coming stars like Joseph Gordon-Levitt  Tom Hardy  and Marion Cotillard  and a very nice performance from one of my favourites  Cillian Murphy. So  while it may not be the masterpiece that I was hoping for  INCEPTION is definitely a step in the right direction of intelligent Hollywood filmmaking.,positive
5,Inception,2010,PG-13,2h 28min,Action; Adventure; Sci-Fi; ,16 July 2010 (USA),8.8,1981688,3820,https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/8X8J8sNXmCWDBaxo3vueONLRj00=/206x305/v2/https://flxt.tmsimg.com/assets/p7825626_p_v8_af.jpg,0,Not Your Typical  Brainless Summer Movie,23-Jul-10,"Inception (2010) *** 1/2 (out of 4)The ""kiss"" platform of recent years to keep it simple and stupid has pretty much ruined movies to a point as it's rare when one can walk into a movie and have a real workout on your brain. Sure  our eyes and ears are treated to amazing sites and loud noises each and every week and some would say this causes the brain just to lose any type of reality  which might be the reason certain people (cough Lohan  Hilton and countless others) are able to be hot stories while better  more worthwhile events are simply overlooked. If one doesn't want to use their brain then it's best to stay away from this thing. It's best not to know too much about the story but it deals with a troubled man (Leonardo DiCaprio) who has made it a job to break into people's dreams and steal their ideas. However  due to a personal tragedy  he is forced to take a job doing the opposite  which is breaking into a man's dream to plant an idea. That's pretty much all you need to know  storywise  as director/writer Nolan will deliver the rest and while the end result wasn't a pure masterpiece to me  there's no way you can deny the power it does contain. Dreams have always played an interesting part in movies but no other has taken you this far into them and delivered such incredible ideas. Not only does the screenplay deliver a lot to think about but we also get plenty of action and amazing scenes of destruction. The trailer showed people just a little pinch of a city turning upside down but seeing the full sequence was something truly amazing. Other amazing sequences was the entire final hour when our group of dream breakers must enter a multiple layer of dreams with one damaging effect after another. If you're familiar with Nolan then you already know what he can do and there's no question the man has talent but it is something special that a film like this could be pulled off at all. When you're dealing with multiple characters in multiple spaces and in multiple dream zones it would be easy and common for things to just fall apart under their own weight. It's very difficult to keep you guessing from one moment to another without things either falling apart or getting so complicated that the viewer simply gives up on the film and moves on. The amazing thing is that Nolan never lets up on the gas and instead just delivers one more bit of story on top of the next and I thought it was amazing that he could keep the viewing coming along for the ride and never lose us. I think some people are going to not understand what's going on or be able to figure out the multiple levels but when you kick back and think about what you've seen I think most will see that the maze had an entrance and an exit and nothing came as a cheat. DiCaprio delivers yet another wonderful performance but he's got a terrific cast around him including Ellen Page  Michael Caine  Joseph Gordon-Levitt  Marion Cotillard  Cilliam Murphy  Pete Postlethwaite and a great return from Tom Berenger. Each actor does fine work in their roles and certainly help the story move along. The nature of the story is a very good one but the visual effects are just as good. Looking at all the action and amazing effects makes one really appreciate the acting  directing and story even more simply because they didn't get lost behind everything else that was going on. I don't think there's any question that one needs more than a single viewing to catch everything happening here but that's certainly not a bad thing since each viewing will deliver bits and pieces that will probably take the film into directions that you didn't think were there.",positive
6,Inception,2010,PG-13,2h 28min,Action; Adventure; Sci-Fi; ,16 July 2010 (USA),8.8,1981688,3820,https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/8X8J8sNXmCWDBaxo3vueONLRj00=/206x305/v2/https://flxt.tmsimg.com/assets/p7825626_p_v8_af.jpg,9,Oozing with originality,01-Oct-13,This is a world where people can go into your dreams. Some are even able to use your dreams to influence your actions. Dom Cobb (Leonardo DiCaprio) is skilled at stealing secrets by diving into your dreams. It's a dark treacherous world where he has made too many enemies. Now he is offered a chance to come in from the cold. This time his team is tasked to plant an idea into the target's mind  or in one word inception.Christopher Nolan has created something of a Penrose-stairs structure in this movie. It's complicated and may be too convoluted to be reasonable. But that's as much part of its charm. The worlds  the effects  the ideas are all first rate. It is oozing with originality.The actors are also first rate. Nolan can command the best cast to his projects now. There is nobody better than DiCaprio to anchor this movie. Nothing about this movie is done with lesser parts. This is indeed a top movie.,positive
7,Inception,2010,PG-13,2h 28min,Action; Adventure; Sci-Fi; ,16 July 2010 (USA),8.8,1981688,3820,https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/8X8J8sNXmCWDBaxo3vueONLRj00=/206x305/v2/https://flxt.tmsimg.com/assets/p7825626_p_v8_af.jpg,10,Come Back Again!,31-Jul-10,If one goes to an art gallery to see a provocative piece  one sees something new each time. That's what true art is. That's why a black light Elvis is not art. This film is certainly a tour de force. It requires engagement at every step. LIke most works of art  it doesn't give it all away. I look forward to seeing this the second or even third time. First of all  the premise is wonderfully engaging. Our consciousness is layered as everyone knows who thinks they have awakened  only to find themselves in another nightmare--then they awaken again. We know that the subconscious by nature is out of our control. There you have a wonderful premise. Now layer that further with people who can flip in and out and use this to their own ends. While confusing  it's exciting. The amazing thing is that the director/writer pulls it off. Every nuance and event is picked precisely for its effectiveness. We have the luxury of watching from one precipice into the abyss. We do care about the people and not just because we want them to succeed. We care about the matrix of the dream levels. Great movie.,positive
8,Inception,2010,PG-13,2h 28min,Action; Adventure; Sci-Fi; ,16 July 2010 (USA),8.8,1981688,3820,https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/8X8J8sNXmCWDBaxo3vueONLRj00=/206x305/v2/https://flxt.tmsimg.com/assets/p7825626_p_v8_af.jpg,0,labyrinth,31-Dec-16,it has the gift to become a personal story. because it is a film about dreams  about past  about memories who could stop or rule the present. in same measure  it is an ambitious project. maybe to ambitious because the story becomes a huge map in which plains and seas are mixed. not the last  it is one of demonstration of the art of Leonardo diCaprio. beautiful  precise but  maybe  too obvious. the original theme - the mind control - becomes an unlimited labyrinth. a story about spies becomes a psychological one. all in a oppressive rhythm  with explanations who are status of parts of lesson  with different levels who transforms it in a kind of video game. but its virtue is to be perfect choice for different viewers. and this does it great.,positive
9,Inception,2010,PG-13,2h 28min,Action; Adventure; Sci-Fi; ,16 July 2010 (USA),8.8,1981688,3820,https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/8X8J8sNXmCWDBaxo3vueONLRj00=/206x305/v2/https://flxt.tmsimg.com/assets/p7825626_p_v8_af.jpg,8,A deep dive into the human mind  Nolan at his finest,18-Aug-20,"The word ""Inception"" will always be associated with this 2.5-hour movie we have here and that says it all basically about how defining the outcome is. But first things first: The writer and direcctor here is of course Christopher Nolan and his British/American production from 2010 is maybe still his defining effort ten years later. They are showing this in theaters now again for said tenth anniversary and I happily took the chance to give it another watch  my third in fact and it definitely was not worse than my first or second. This is the kind of film that is indeed a lot better to be seen on the big screen  not only  but also because of the special effects. This movie won four Oscars  so also a big success with awards bodies  especially because it took home 150 more awards and over 200 more nominations and that is just what is listed here on imdb. Still I remember many people outraged back then because the one thing it did not get was an Oscar nomination for Nolan himself as director despite getting in at pretty much every important precursor. However  now in 2020  he also has his director nod and for this film here he got the writing nomination at least and that is absolutely alright because I think that the writing is the film's best aspect probably. Utter genius involved here and even more impressive if it was Nolan all on his own apparently.No Oscar nominations for the cast here. I think the only one who was slightly considered was Marion Cotillard and I would have liked it. She was really good  but then again I am a fan of her anyway. But it wasn't meant to happen and that is perfectly fine. She has one trophy already anyway  also did back then  which maybe helped her also in terms of getting cast here. She is one of several cast members that have worked with Nolan on other occasions before or after this movie  even if I think her portrayal in the final Batman film did not receive such positive acclaim overall. Oh well  others would be Murphy  Hardy and of course Michael Caine  who only has very little screen time here  two scenes and his second scene only lasts for a few seconds  but the first is really nice when his character meets the protagonist. Then there's a few actors whose star has gone down a bit in the last 10 years since this movie was made. Murphy may fit the description too to some extent  but I mostly mean the younger folks like Joseph Gordon-Levitt and Ellen Page. And Pete Postlethwaite is already dead for a few years  a bit sad knowing that now with how we see his character here dying too. May he rest in peace. But speaking of JGL  his role here is a bit of an example why he would never make it big in Hollywood. His character so plays second fiddle to Leonardo DiCaprio that it was a bit embarrassing almost here and there and among the weaker components of the film. Take the very early part already how he is trying so hard to convince Watanabe's character  while Leo knows his value and is all smooth and cool. Or how JGL is the one being caught and used to put pressure on Cobb (Leo) and even gets a bullet in the head. Or how he falls from the chair  kicked by Hardy I think  to elaborate on another phenomenon how people wake up from dreams. Oh yes  Watanabe I mentioned. Him I liked and like in general as an actor. I wish his character could have had more screen time to be honest  but his injury got in the way  but as we were sliding down the spheres  he gets better again. Still a bit strange how he so effortlessly turns into good guy and part of the team while being the antagonist before that and also with no real knowledge on the subject accompanies the thieves in their crucial endeavor involving Murphy's character. He was not really needed though.Another character who becomes part of the gang is Ellen Page's. She had some good moments and some not so good moments. Definitely not on par with the one other significant female character here  namely Cotillard's  but overall she is alright. The conscience scene with the ""people"" looking at her with angry faces is among the most memorable of the entire film. How she pushes these huge mirrors in position to show us the concept of going deeper and deeper into the mind  layer by layer  was also really good. But the idea that she really joins the gang too is already difficult to believe  but her return and talk about utter creation make me almost forget about it. What I cannot forget  however  is her final idea to step down to the bottom layer where Watanabe's character is lost. They acted as if this layer was simply too tough to take and then minutes later they are like okay well no biggie  let's go there and fix everything. The real final antagonist  namely Hal (Cotillard)  waiting there alone sure cannot justify their initial thoughts about that layer and its impact. As for Cotillard's character  of course the French music was a pretty telling inclusion again linked to her previous Oscar-winning movie for sure. Everybody who saw that one  must have made the connection. Anyway  speaking of Page's character again  kinda telling that she gets an implied romantic relationship with the kiss moment between her character and JGL's. That was one of the very few funny moments and that is fine. It was okay  but no need to stretch it or turn it into a romance movie. Nolan has many other  bigger strengths and I am glad he focused on these.Also in my showing  some people laughed at everything they got the chance to laugh at. It was pretty embarrassing. They knew nothing about movie quality. Anyway  Nolan's biggest strength here is the attention to detail. As good as the overall concept may be  the best thing is what he did with these small moments  such as the carpet having the wrong material and we realize it is just a dream within a dream. There are many other examples  such as everything involving Hardy's character too. He also brought in some comedy  like when he is that lady or when he guns down the enemy and tells JGL's character to think big. But the overall concept is just as good  the idea of how being killed in a dream makes you wake up  all the layers  or the idea how we do not remember the beginning of a dream (how did the two get there?) and a lot more. Nolan's script really oozes brilliance and creativity here and I would have been totally fine with it winning a fifth Oscar. Or even with the film winning Best Picture  which it admittedly never had a shot at. But the concept of dreaming and how little we and science know about it now in the 21st century is something that has fascinated me for a long time really  especially because I am a very heavy and intense dreamer myself. So exactly my cup of tea this movie and maybe people with little interest in the overall idea will like it less. Or maybe not  if we take a look at the really high rating here on imdb and this really high ranking up in the top250. Not undeserving. Nolan created a world of genius.At the same time  away from all the sci-fi  he also managed to create a touching story between Cobb and Hal. The scene when she jumps down from the roof is of course especially haunting  but also how we never see their children's faces in the dream because Cobb refuses to until he sees them in reality. And does so in the end. Happy end? Maybe. But to me it all felt so rushed with how he meets the old self of Watanabe's character (by the way the quote about how he simply bought the airline was another great comedic moment  maybe Nolan is not as bad as I thought and should finally make a 100% comedy movie)  turns him into a young man again within seconds and they all wake up inside the plane and even Murphy's character makes his peace again with his old man. And finally Cobb can  thanks to the Asian's help  get back to America and see his kids and then we see the swirling totem. Hal's totem. Does that mean we are indeed in her dream still. It could be with Nolan poking fun at unrealistic (in the truest sense of the word) rushed endings and nothing we saw was reality. Was Hal right all along? That's the good thing here. There is no 100% right or wrong. No 100% true or false and even if you watch this film ten times  you will still find something new you have not come across before  something new that can help you develop new creative approaches to the film and the reality depicted therein. Also have you ever asked yourself if you are in a dream yourself because when you are dreaming  then you usually don't know  so who says it couldn't be one we are all in right now. Anyway  this should be almost enough now with the review. You hopefully understood how much I liked this film.Just a few more snippets of information: 2010 was an amazing year for DiCaprio because he also appeared in Scorsese's ""Shutter Island""  another brilliant movie about the distorted human mind. I just mentioned the idea of totems. That I like as well  also with the additional idea that you should not let anybody touch your totem and how Cobb puts Page's character to a bit of a test there. Oh yes  another really smart reference the 1:10 proportion. One hour of dreaming equals ten hours of action in our dreams  which is why reality got slower and slower the further they dove down and how they showed it to us with the car crashing down the cliff (another happy ending that they are all saved) in fragments of 10% of a second maybe with all that has been going on underneath in the meantime was another stroke of genius for sure. There is so much to like here  it is pretty unreal. I am generally not a huge action film fan  but the very action-packed sequence in the icy region was good too. What can I say? I just like snow. Even if they had preferred an island in the sun or so. Another comedic moment. Alright. I think I'll leave it at that  even if there are another dozen moments at least so full of wit and creativity (just like myself) that they deserve elaboration on  but I won't because you need to watch it yourself instead!",positive
10,Inception,2010,PG-13,2h 28min,Action; Adventure; Sci-Fi; ,16 July 2010 (USA),8.8,1981688,3820,https://www.imdb.com/title/tt1375666/reviews/_ajax?ref_=undefined&paginationKey=,https://resizing.flixster.com/8X8J8sNXmCWDBaxo3vueONLRj00=/206x305/v2/https://flxt.tmsimg.com/assets/p7825626_p_v8_af.jpg,6,Overrated Mess,12-Dec-10,"In the future  the industrial spy Cobb (Leonardo DiCaprio) has the ability to steal secrets from the dreams of executives. When his beloved wife committed suicide in the past  he was falsely accused of murder and now he is an international fugitive that can not return to USA to be with his children. When Cobb meets the powerful Saito (Ken Watanabe)  the executive offers a unique chance to him to clear his records. In return  Cobb shall plant an inception in the mind of the heir Robert Fischer (Cillian Murphy) to avoid that the company he had inherited from his father becomes a monopoly in energy in the future. Cobb lost the capability to build dreams and together with his partner Arthur (Joseph Gordon-Levitt)  they team up with the trainee in architecture Ariadne (Ellen Page); with the expert Eames (Tom Hardy); and with the chemistry Yusuf (Dileep Rao) to enter in different levels of Robert's dream and plant the inception.""Inception"" is an overrated mess and my greatest deception in 2011. I do not understand the hype surrounding this film  probably the fruit of the market campaign of smart producers that lure naive viewers that seem that does not think and understand how flawed and stupid this story is. The plot is developed in fast pace to force the viewer to not think  with incoherent rules that do no make sense and that change in each layer of the dream in accordance with the intention of the writer. The best part of this film is the hilarious IMDb User Rating that reflects how brainless the Hollywood cinema has become in the contemporary days. My vote is six.Title (Brazil): ""A Origem"" (""The Inception"")",positive
